link,headline,episode,posted_by,main_link,rate,ratingcount,genre,japanese_title,synonims,english_title,status,type,source,duration,total_episode,season,studio,producers,released
https://samehadaku.email/tensei-kizoku-kantei-skill-de-nariagaru-season-2-episode-8/,"Tensei Kizoku, Kantei Skill de Nariagaru Season 2 Episode 8",8,Azuki,https://samehadaku.email/anime/tensei-kizoku-kantei-skill-de-nariagaru-season-2/,7.4," 4,537",Adventure|Fantasy|Isekai|Reincarnation,Japanese 転生貴族、鑑定スキルで成り上がる 第2期,Synonyms Reincarnated as an Aristocrat with an Appraisal Skill Season 2,"English  As a Reincarnated Aristocrat, I'll Use My Appraisal Skill to Rise in the World Season 2",Status Ongoing,Type TV,Source  Light novel,Duration 23 min. per ep.,Total Episode 12,Season Fall 2024,Studio studio MOTHER,"Producers Bandai Namco Filmworks, Bandai Namco Music Live, Bushiroad Move, CBC Television, Crunchyroll, Dentsu, Kodansha, Tencent Japan, U-NEXT","Released:  Sep 29, 2024 to ?"
https://samehadaku.email/tower-of-god-season-2-episode-21/,Tower of God Season 2 Episode 21,21,Biasa,https://samehadaku.email/anime/tower-of-god-season-2/,7.7," 8,244",Action|Adventure|Drama|Fantasy|Mystery,Japanese  神之塔 -Tower of God- 王子の帰還,"Synonyms Sin-ui Tap, 신의 탑, Tower of God: Return of the Prince, Kami no Tou 2nd Season",English Tower of God Season 2,Status Ongoing,Type TV,Source Web manga,Duration 23 min. Per Epi,Total Episode ,Season Summer 2024,Studio The Answer Studio,"Producers Bandai Namco Filmworks, Crunchyroll, Line Digital Frontier, Sola Entertainment","Released:  Jul 7, 2024 to ?"
https://samehadaku.email/tsuma-shougakusei-ni-naru-episode-9/,Tsuma Shougakusei ni Naru Episode 9,9,Biasa,https://samehadaku.email/anime/tsuma-shougakusei-ni-naru/,7.3,"2,632 ",Comedy|Reincarnation|Romance,Japanese  妻、小学生になる。,,English If My Wife Becomes an Elementary School Student.,Status Ongoing,Type TV,Source MAnga,Duration 23 min. per ep.,Total Episode 12,Season Fall 2024,Studio Studio Signpost,"Producers BS11, Crunchyroll, Houbunsha, Pierrot, TC Entertainment, VAP, Yomiuri TV Enterprise","Released:  Oct 6, 2024 to ?"
https://samehadaku.email/shangri-la-frontier-season-2-episode-7/,Shangri-La Frontier Season 2 Episode 7,7,Dinda,https://samehadaku.email/anime/shangri-la-frontier-season-2/,8.14,"7,626",Action|Adventure|Fantasy,Japanese シャングリラ・フロンティア～クソゲーハンター、神ゲーに挑まんとす～ 2nd season,"Synonyms Shangri-La Frontier: Crappy Game Hunter Challenges God-Tier Game, Shanfro",English Shangri-La Frontier Season 2,Status Ongoing,Type TV,Source Manga,Duration 23 min. per ep.,Total Episode 25,Season Fall 2024,Studio C2C,Producers ,"Released:  Oct 13, 2024 to ? "
https://samehadaku.email/nanatsu-no-taizai-mokushiroku-no-yonkishi-season-2-episode-7/,Nanatsu no Taizai: Mokushiroku no Yonkishi Season 2 Episode 7,7,Biasa,https://samehadaku.email/anime/nanatsu-no-taizai-mokushiroku-no-yonkishi-season-2/,7.5,574 ,Action|Adventure|Fantasy,Japanese 七つの大罪 黙示録の四騎士 第2期,,English The Seven Deadly Sins: Four Knights of the Apocalypse Season 2,Status Ongoing,Type TV,Source  Manga,Duration 23 min.,Total Episode ,Season Fall 2024,Studio Telecom Animation Film,Producers Unlimited Produce by TMS,"Released:  Oct 6, 2024 to ?"
https://samehadaku.email/fairy-tail-100-years-quest-episode-20/,Fairy Tail: 100 Years Quest Episode 20,20,Urusai,https://samehadaku.email/anime/fairy-tail-100-years-quest/,7.82,"15,215",Action|Adventure|Fantasy|Shounen,Japanese FAIRY TAIL 100年クエスト,,English Fairy Tail: 100 Years Quest ,Status Ongoing,Type TV,Source Manga ,Duration 23 min. ,Total Episode ,Season Summer 2024,Studio J.C.Staff,Producers Avex Pictures,"Released:  Jul 7, 2024 to ? "
https://samehadaku.email/one-piece-gyojin-tou-hen-episode-4/,One Piece: Gyojin Tou-hen Episode 4,4,Azuki,https://samehadaku.email/anime/one-piece-gyojin-tou-hen/,,,Action|Adventure|Fantasy,Japanese SPECIAL EDITED VERSION『ONE PIECE』魚人島編 ,Synonyms OP,English One Piece Log: Fish-Man Island Saga,Status Ongoing,Type TV,Source Manga,Duration ,Total Episode 21,Season Fall 2024,Studio Toei Animation,Producers ,"Released:  Nov 3, 2024 to ? "
https://samehadaku.email/ao-no-exorcist-yuki-no-hate-hen-episode-8/,Ao no Exorcist: Yuki no Hate-hen Episode 8,8,Biasa,https://samehadaku.email/anime/ao-no-exorcist-yuki-no-hate-hen/,7.3," 1,868",Action|Mythology|School|Supernatural,Japanese 青の祓魔師 雪ノ果篇,"Synonyms Blue Exorcist Season 4, Ao no Exorcist 4th Season",English Blue Exorcist: Beyond the Snow Saga,Status Ongoing,Type TV,Source  Manga,Duration 23 min. per ep.,Total Episode 12,Season Fall 2024,Studio Studio VOLN,"Producers Aniplex, Dentsu, Mainichi Broadcasting System, Movic, Rakuonsha, Shueisha","Released:  Oct 6, 2024 to ?"
https://samehadaku.email/kimi-wa-meido-sama-episode-8/,Kimi wa Meido-sama Episode 8,8,Biasa,https://samehadaku.email/anime/kimi-wa-meido-sama/,,,Comedy,Japanese 君は冥土様。,,English You Are Ms. Servant.,Status Ongoing,Type TV,Source Web manga,Duration ,Total Episode ,Season Fall 2024,Studio Felix Film,Producers Avex Pictures,"Released:  Oct 6, 2024 to ?"
https://samehadaku.email/party-kara-tsuihou-sareta-sono-chiyushi-jitsu-wa-saikyou-ni-tsuki-episode-8/,"Party kara Tsuihou sareta Sono Chiyushi, Jitsu wa Saikyou ni Tsuki Episode 8",8,Biasa,https://samehadaku.email/anime/party-kara-tsuihou-sareta-sono-chiyushi-jitsu-wa-saikyou-ni-tsuki/,6.7,"2,489",Action|Adventure|Fantasy,Japanese  パーティーから追放されたその治癒師、実は最強につき,,"English The Healer Who Was Banished From His Party, Is, in Fact, the",Status Ongoing,Type TV,Source  Light novel,Duration 23 min. per ep.,Total Episode 12,Season Fall 2024,Studio Studio Elle,"Producers ABC Animation, APDREAM, Bushiroad Move, Futabasha, KlockWorx, NBCUniversal Entertainment Japan, Pony Canyon, Procen Studio, Zero G Act","Released:  Oct 6, 2024 to ?"
https://samehadaku.email/chi-chikyuu-no-undou-ni-tsuite-episode-9/,Chi.: Chikyuu no Undou ni Tsuite Episode 9,9,Urusai,https://samehadaku.email/anime/chi-chikyuu-no-undou-ni-tsuite/,8.26,"10,811",Drama|Historical|Seinen,Japanese チ。―地球の運動について―,Synonyms About the Movement of the Earth ,English Orb: On the Movements of the Earth ,Status Ongoing,Type TV,Source Manga,Duration 25 min. per ep. ,Total Episode 25,Season Fall 2024,Studio Madhouse,Producers ,"Released:  Oct 5, 2024 to ? "
https://samehadaku.email/maou-2099-episode-7/,Maou 2099 Episode 7,7,Biasa,https://samehadaku.email/anime/maou-2099/,7.2,"2,755",Action|Fantasy|Sci-Fi,Japanese  魔王2099,"Synonyms  Ken to Maou no Cyberpunk, The Lord Of Immortals Blooming in The Abyss F.E. 2099",English  Demon Lord 2099,Status Ongoing,Type TV,Source Light novel,Duration 23 min. per ep.,Total Episode 12,Season Fall 2024,Studio J.C.Staff,"Producers Aniplex, BS11, Kadokawa, Tokyo MX","Released:  Oct 13, 2024 to ?"
https://samehadaku.email/ranma-%c2%bd-2024-episode-8/,Ranma ½ (2024) Episode 8,8,Urusai,https://samehadaku.email/anime/ranma-%c2%bd-2024/,8.06,"15,517",Action|Comedy|Ecchi|Martial Arts|Romance|School|Shounen,Japanese らんま1/2,"Synonyms Ranma 1/2, Ranma ½ Nettou Hen ",English Ranma ½ ,Status Ongoing,Type TV,Source Manga,Duration 23 min. ,Total Episode ,Season Fall 2024,Studio MAPPA,"Producers dugout, Shogakukan-Shueisha Productions","Released:  Oct 6, 2024 to ? "
https://samehadaku.email/blue-lock-season-2-episode-8/,Blue Lock Season 2 Episode 8,8,Urusai,https://samehadaku.email/anime/blue-lock-season-2/,6.68,"24,998",Shounen|Sports|Team Sports,Japanese ブルーロック VS. U-20 JAPAN ,Synonyms Blue Lock 2nd Season ,English Blue Lock 2nd Season ,Status Ongoing,Type TV,Source Manga,Duration  25 min. per ep. ,Total Episode 14,Season Fall 2024,Studio 8bit,"Producers Bandai Namco Filmworks, Bandai Namco Music Live, Bandai Spirits, Bit grooove promotion, Chiptune, Crunchyroll, Kodansha, TV Asahi","Released:  Oct 5, 2024 to ? "
https://samehadaku.email/maou-sama-retry-r-season-2-episode-9/,"Maou-sama, Retry! R Season 2 Episode 9",9,Biasa,https://samehadaku.email/anime/maou-sama-retry-r-season-2/,6.1,"1,015 ",Action|Adventure|Fantasy|Isekai,Japanese 魔王様、リトライ! R,,"English Demon Lord, Retry! R",Status Ongoing,Type TV,Source  Web manga,Duration 23 min.,Total Episode 12,Season Fall 2024,Studio Gekkou,"Producers BloomZ, BS Fuji, BS NTV, Bushiroad Move, CTW, Futabasha, FUTURE LEAP, KlockWorx, RKB Mainichi Broadcasting Corporation, Starry Cube, SUPA LOVE, tamakoshi, Toei Video, Tokyo MX, Yoyogi Animation Gakuin","Released:  Oct 5, 2024 to ?"
https://samehadaku.email/bleach-sennen-kessen-hen-soukoku-tan-cour-3-episode-8/,Bleach: Sennen Kessen-hen – Soukoku-tan (Cour 3) Episode 8,8,Urusai,https://samehadaku.email/anime/bleach-sennen-kessen-hen-soukoku-tan-cour-3/,8.99,"31,640",Action|Adventure|Shounen|Supernatural,Japanese BLEACH 千年血戦篇-相剋譚-,Synonyms Bleach: Thousand-Year Blood War Arc Part 3 ,English Bleach: Thousand-Year Blood War - The Conflict ,Status Ongoing,Type TV,Source Manga,Duration 24 min. ,Total Episode ,Season Fall 2024,Studio Pierrot Films,"Producers Pierrot, Zack Promotion","Released:  Oct 5, 2024 to ? "
https://samehadaku.email/ao-no-miburo-episode-6/,Ao no Miburo Episode 6,6,Dinda,https://samehadaku.email/anime/ao-no-miburo/,6.87,957,Action,Japanese 青のミブロ,Synonyms The Blue Wolves of Mibu,English Blue Miburo,Status Ongoing,Type TV,Source Manga,Duration ,Total Episode ,Season Fall 2024,Studio Maho Film,Producers ,"Released:   Oct 19, 2024 to ?"
https://samehadaku.email/dragon-ball-daima-episode-7/,Dragon Ball Daima Episode 7,7,Biasa,https://samehadaku.email/anime/dragon-ball-daima/,,,Action|Adventure|Comedy|Fantasy,Japanese ドラゴンボール ダイマ,,English Dragon Ball DAIMA,Status Ongoing,Type TV,Source Manga,Duration ,Total Episode ,Season Fall 2024,Studio ,Producers ,"Released:  Oct 11, 2024 to ?"
https://samehadaku.email/sword-art-online-alternative-gun-gale-online-season-2-episode-8/,Sword Art Online Alternative – Gun Gale Online Season 2 Episode 8,8,Biasa,https://samehadaku.email/anime/sword-art-online-alternative-gun-gale-online-season-2/,7.3,"2,908",Action|Military|VideoGame,Japanese ソードアート・オンライン オルタナティブ ガンゲイル・オンラインⅡ,Synonyms SAO Alternative Gun Gale Online II,English Sword Art Online Alternative: Gun Gale Online II,Status Ongoing,Type TV,Source  Light novel,Duration 23 min. per ep.,Total Episode 12,Season Fall 2024,Studio A-1 Pictures,"Producers Aniplex, Egg Firm, Kadokawa, Magic Capsule, Straight Edge","Released:  Oct 5, 2024 to ?"
https://samehadaku.email/2-5-jigen-no-ririsa-episode-21/,2.5-jigen no Ririsa Episode 21,21,Biasa,https://samehadaku.email/anime/2-5-jigen-no-ririsa/,7.09,402,Comedy|Ecchi|Harem|Otaku Culture|School|Shounen,Japanese 2.5次元の誘惑,"Synonyms Nigoriri, 2.5-jigen no Yuuwaku, Ririsa of 2.5 Dimension",English 2.5 Dimensional Seduction,Status Ongoing,Type TV,Source Manga,Duration 24 min. per ep.,Total Episode 24,Season Summer 2024,Studio J.C.Staff,"Producers Magic Capsule, Shueisha","Released:  Jul 5, 2024 to ?"
https://samehadaku.email/kekkon-suru-tte-hontou-desu-ka-episode-8/,"Kekkon suru tte, Hontou desu ka Episode 8",8,Azuki,https://samehadaku.email/anime/kekkon-suru-tte-hontou-desu-ka/,,,Adult Cast|Romance|Workplace,Japanese 結婚するって、本当ですか 365 Days To The Wedding,Synonyms Are You Really Getting Married?,English 365 Days to the Wedding,Status Ongoing,Type TV,Source Manga,Duration ,Total Episode ,Season Fall 2024,"Studio Pony Canyon, Studio Mausu",Producers Ashi Productions,"Released:   Oct 3, 2024 to ?"
https://samehadaku.email/trillion-game-episode-9/,Trillion Game Episode 9,,Azuki,,,,,,,,,,,,,,,
https://samehadaku.email/rurouni-kenshin-meiji-kenkaku-romantan-kyoto-douran-episode-8/,Rurouni Kenshin: Meiji Kenkaku Romantan – Kyoto Douran Episode 8,8,Urusai,https://samehadaku.email/anime/rurouni-kenshin-meiji-kenkaku-romantan-kyoto-douran/,7.94,"4,230",Action|Historical|Samurai|Shounen,Japanese るろうに剣心 -明治剣客浪漫譚- 京都動乱 ,Synonyms Rurouni Kenshin Season 2 ,English Rurouni Kenshin: Kyoto Disturbance ,Status Ongoing,Type TV,Source Manga,Duration 22 min. per ep. ,Total Episode 23,Season Fall 2024,Studio LIDENFILMS,Producers ,"Released:  Oct 4, 2024 to ? "
https://samehadaku.email/sayounara-ryuusei-konnichiwa-jinsei-episode-8/,"Sayounara Ryuusei, Konnichiwa Jinsei Episode 8",8,Urusai,https://samehadaku.email/anime/sayounara-ryuusei-konnichiwa-jinsei/,6.42,"6,514",Action|Adventure|Fantasy|Reincarnation,Japanese さようなら竜生、こんにちは人生,"Synonyms Goodbye Dragon Life, Hello Human Life","English  Good Bye, Dragon Life",Status Ongoing,Type TV,Source Light novel,Duration 24 min. ,Total Episode 12,Season Fall 2024,"Studio SynergySP, Vega Entertainment","Producers BloomZ, DMM pictures","Released:  Oct 4, 2024 to ?"
https://samehadaku.email/ao-no-hako-episode-9/,Ao no Hako Episode 9,9,Urusai,https://samehadaku.email/anime/ao-no-hako/,8.39,"23,383",Romance|School|Shounen|Sports|Team Sports,Japanese アオのハコ ,,English Blue Box ,Status Ongoing,Type TV,Source Manga,Duration 23 min. per ep. ,Total Episode 25,Season Fall 2024,Studio Telecom Animation Film,Producers Unlimited Produce by TMS,"Released:  Oct 3, 2024 to ? "
https://samehadaku.email/dandadan-episode-8/,Dandadan Episode 8,8,Biasa,https://samehadaku.email/anime/dandadan/,8.6,"2,164 ",Action|Comedy|Shounen|Supernatural,Japanese  ダンダダン,,English Dandadan,Status Ongoing,Type TV,Source Manga,Duration  23 min. per ep.,Total Episode 12,Season Fall 2024,Studio Science SARU,Producers Mainichi Broadcasting System,Released:  Oct 2024 to ?
https://samehadaku.email/hitoribocchi-no-isekai-kouryaku-episode-9/,Hitoribocchi no Isekai Kouryaku Episode 9,9,Azuki,https://samehadaku.email/anime/hitoribocchi-no-isekai-kouryaku/,7.73,78,Action|Adventure|Fantasy,Japanese ひとりぼっちの異世界攻略,Synonyms Lonely Attack on the Different World,English Loner Life in Another World,Status Ongoing,Type TV,Source Light novel,Duration 24 min. per ep. ,Total Episode ,Season Fall 2024,"Studio Hayabusa Film, Passione",Producers Pony Canyon,"Released:  Sep 26, 2024 to ?"
https://samehadaku.email/negaposi-angler-eisode-8/,NegaPosi Angler Eisode 8,8,Biasa,https://samehadaku.email/anime/negaposi-angler/,7.2,"2,040",Adult Cast,Japanese ネガポジアングラー,,English Negative Positive Angler,Status Ongoing,Type TV,Source Original,Duration 23 min.,Total Episode ,Season Fall 2024,Studio Nut,Producers Kadokawa,"Released:  Oct 3, 2024 to ?"
https://samehadaku.email/danmachi-season-5-episode-8/,DanMachi Season 5 Episode 8,8,Urusai,https://samehadaku.email/anime/danmachi-season-5/,7.96,"12,254",Action|Adventure|Fantasy,Japanese ダンジョンに出会いを求めるのは間違っているだろうかV 豊穣の女神篇 ,"Synonyms DanMachi 5th Season, Is It Wrong That I Want to Meet You in a Dungeon 5th Season ",English Is It Wrong to Try to Pick Up Girls in a Dungeon? V ,Status Ongoing,Type TV,Source Light novel,Duration 23 min. per ep. ,Total Episode 15,Season Fall 2024,Studio J.C.Staff,Producers Egg Firm,"Released:   Oct 5, 2024 to ?"
https://samehadaku.email/shin-tennis-no-ouji-sama-u-17-world-cup-semifinal-episode-8/,Shin Tennis no Ouji-sama: U-17 World Cup Semifinal Episode 8,8,Azuki,https://samehadaku.email/anime/shin-tennis-no-ouji-sama-u-17-world-cup-semifinal/,6.65,350,School|Sports,Japanese 新テニスの王子様 U-17 WORLD CUP SEMIFINAL,Synonyms The Prince of Tennis II U-17 World Cup Semifinal,English The Prince of Tennis II U-17 World Cup Semifinal,Status Ongoing,Type TV,Source Manga,Duration 24 min. per ep.,Total Episode ,Season Fall 2024,Studio M.S.C,"Producers Jinnan Studio, Nihon Ad Systems","Released:  Oct 3, 2024 to ?"
https://samehadaku.email/re-zero-kara-hajimeru-isekai-seikatsu-season-3-episode-8/,Re Zero kara Hajimeru Isekai Seikatsu Season 3 Episode 8,8,Azuki,https://samehadaku.email/anime/rezero-kara-hajimeru-isekai-seikatsu-season-3/,8.91,17.896,Drama|Fantasy|Isekai|Psychological|Suspense|Time Travel,Japanese  Re：ゼロから始める異世界生活,,English Re:ZERO -Starting Life in Another World- Season 3,Status Ongoing,Type TV,Source Light novel,Duration 24m,Total Episode ,Season Fall 2024,Studio White Fox,"Producers Kadokawa, Magic Capsule",Released:  Oct 2024 to ?
https://samehadaku.email/yarinaoshi-reijou-wa-ryuutei-heika-wo-kouryakuchuu-episode-7/,Yarinaoshi Reijou wa Ryuutei Heika wo Kouryakuchuu Episode 7,7,Azuki,https://samehadaku.email/anime/yarinaoshi-reijou-wa-ryuutei-heika-wo-kouryakuchuu/,7.24,"3,600 ",Comedy|Fantasy|Romance|Time Travel,Japanese やり直し令嬢は竜帝陛下を攻略中,"Synonyms The Returnee Noble Lady Attacks His Majesty the Dragon Emperor, Win Over the Dragon Emperor This Time Around, Noble Girl!, Yariryuu",English The Do-Over Damsel Conquers The Dragon Emperor,Status Ongoing,Type TV,Source Light novel,Duration 24 min. per ep.,Total Episode ,Season Fall 2024,Studio J.C.Staff,"Producers Kadokawa, Magic Capsule","Released:   Oct 9, 2024 to ?"
https://samehadaku.email/sengoku-youko-part-2-episode-17/,Sengoku Youko Part 2 Episode 17,17,Urusai,https://samehadaku.email/anime/sengoku-youko-senma-konton-hen/,7.25,"2,605",Action|Adventure|Fantasy|Historical|Mythology|Shounen,Japanese 戦国妖狐 千魔混沌編 ,Synonyms Sengoku Youko Part 2 ,English Sengoku Youko 2nd Season ,Status Ongoing,Type TV,Source Manga,Duration 23 min. per ep. ,Total Episode 22,Season Summer 2024,Studio White Fox,Producers ,"Released:  Jul 18, 2024 to ? "
https://samehadaku.email/tasuuketsu-episode-19/,Tasuuketsu Episode 19,19,Dinda,https://samehadaku.email/anime/tasuuketsu/,5.4,"1,473",Action|Drama|High Stakes Game|Psychological|Suspense,Japanese  多数欠,,English Tasuketsu -Fate of the Majority-,Status Ongoing,Type TV,Source  Web manga,Duration 22 min.,Total Episode ,Season Summer 2024,Studio Satelight,"Producers Team Kawadon, VAP","Released:   Jul 3, 2024 to ?"
https://samehadaku.email/rekishi-ni-nokoru-akujo-ni-naru-zo-episode-8/,Rekishi ni Nokoru Akujo ni Naru zo Episode 8,8,Urusai,https://samehadaku.email/anime/rekishi-ni-nokoru-akujo-ni-naru-zo/,7.07,"9,196",Comedy|Fantasy|Isekai|Reincarnation|Romance|Shoujo,Japanese 歴史に残る悪女になるぞ ,"Synonyms Rekiaku, I'll Become a Villainess That Will Go Down in History: The More of a Villainess I Become, the More the Prince will Dote on Me ",English I'll Become a Villainess Who Goes Down in History ,Status Ongoing,Type TV,Source Light novel,Duration 23 min. per ep. ,Total Episode 13,Season Fall 2024,Studio Maho Film,"Producers Half H.P Studio, Lantis","Released:  Oct 2, 2024 to ? "
https://samehadaku.email/amagami-san-chi-no-enmusubi-episode-8/,Amagami-san Chi no Enmusubi Episode 8,8,Urusai,https://samehadaku.email/anime/amagami-san-chi-no-enmusubi/,6.95,"7,388",Comedy|Harem|Romance|Shounen,Japanese 甘神さんちの縁結び ,Synonyms Matchmaking of the Amagami Household ,English Tying the Knot with an Amagami Sister ,Status Ongoing,Type TV,Source Manga,Duration 23 min. per ep. ,Total Episode 24,Season Fall 2024,Studio Drive,Producers ,"Released:  Oct 2, 2024 to ? "
https://samehadaku.email/youkai-gakkou-no-sensei-hajimemashita-episode-7/,Youkai Gakkou no Sensei Hajimemashita! Episode 7,7,Urusai,https://samehadaku.email/anime/youkai-gakkou-no-sensei-hajimemashita/,6.47,"3,094",Comedy|Fantasy|Gag Humor|Mythology|School|Shounen|Workplace,Japanese 妖怪学校の先生はじめました！ ,"Synonyms I Started Being a Teacher for a Youkai School!, Yohaji",English A Terrified Teacher at Ghoul School! ,Status Ongoing,Type TV,Source Manga,Duration 23 min. per ep. ,Total Episode 24,Season Fall 2024,Studio Satelight,Producers Kappa Entertainment,"Released:  Oct 8, 2024 to ? "
https://samehadaku.email/seirei-gensouki-season-2-episode-7/,Seirei Gensouki Season 2 Episode 7,7,Urusai,https://samehadaku.email/anime/seirei-gensouki-s2/,7.00,"9,191",Action|Adventure|Fantasy|Romance,Japanese 精霊幻想記2,,English Seirei Gensouki: Spirit Chronicles Season 2,Status Ongoing,Type TV,Source Light Novel,Duration 24 Min,Total Episode 12,Season Fall 2024,Studio TMS Entertainment,"Producers Kanon Sound, Nippon Columbia, TMS Music","Released:  Oct 8, 2024 to ?"
